id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob
401110723,2019,1,regular,2019-08-24T23:00:00.000Z,true,false,,4013,Camping World Stadium,Florida,SEC,24,7,0,10,7,0.9059534582132265,Miami,ACC,20,3,10,0,7,0.09404654178677352
401114164,2019,1,regular,2019-08-25T02:30:00.000Z,false,false,,3610,Aloha Stadium,Hawai'i,Mountain West,45,14,14,7,10,0.6886295726282241,Arizona,Pac-12,38,0,21,14,3,0.3113704273717759
401119254,2019,1,regular,2019-08-29T23:00:00.000Z,false,false,,3700,Doyt Perry Stadium,Bowling Green,Mid-American,46,13,17,7,9,0.9999785280584667,Morgan State,,3,0,3,0,0,0.000021471941533346417
401117855,2019,1,regular,2019-08-29T23:00:00.000Z,false,false,,3892,Rentschler Field,Connecticut,American Athletic,24,7,3,14,0,0.7289421137835537,Wagner,,21,0,0,14,7,0.27105788621644633
401119255,2019,1,regular,2019-08-29T23:00:00.000Z,false,false,,3965,UB Stadium,Buffalo,Mid-American,38,21,7,10,0,0.9997880630567496,Robert Morris,,10,7,3,0,0,0.00021193694325039036
401117854,2019,1,regular,2019-08-29T23:00:00.000Z,false,false,,3854,Nippert Stadium,Cincinnati,American Athletic,24,7,3,7,7,0.9968294673908809,UCLA,Pac-12,14,0,7,7,0,0.0031705326091191477
401114246,2019,1,regular,2019-08-29T23:30:00.000Z,false,false,,3796,Houchens Industries-L. T. Smith Stadium,Western Kentucky,Conference USA,28,14,7,7,0,0.0861674673352279,Central Arkansas,,35,0,14,0,21,0.913832532664772
401135910,2019,1,regular,2019-08-29T23:30:00.000Z,false,false,,4418,Jerry Richardson Stadium,Charlotte,Conference USA,49,7,28,7,7,0.9992560144881203,Gardner-Webb,,28,0,14,7,7,0.0007439855118797079
401117853,2019,1,regular,2019-08-29T23:30:00.000Z,false,false,,3652,Bright House Networks Stadium,UCF,American Athletic,62,17,31,7,7,0.9999957343184567,Florida A&M,,0,0,0,0,0,0.000004265681543325073
401111653,2019,1,regular,2019-08-30T00:00:00.000Z,false,true,,3836,Memorial Stadium,Clemson,ACC,52,14,14,14,10,0.999975851296617,Georgia Tech,ACC,14,0,0,7,7,0.000024148703382964598
401114237,2019,1,regular,2019-08-30T00:00:00.000Z,false,false,,3803,Legion Field,UAB,Conference USA,24,14,10,0,0,0.808822993632232,Alabama State,,19,13,0,6,0,0.19117700636776802
401114236,2019,1,regular,2019-08-30T00:00:00.000Z,false,false,,4729,Benson Field at Yulman Stadium,Tulane,American Athletic,42,7,21,14,0,0.9996684962055076,Florida International,Conference USA,14,0,7,7,0,0.00033150379449242706
401110731,2019,1,regular,2019-08-30T00:30:00.000Z,false,false,,3795,Kyle Field,Texas A&M,SEC,41,14,14,3,10,0.999331374188528,Texas State,Sun Belt,7,0,0,0,7,0.000668625811471979
401119253,2019,1,regular,2019-08-30T00:50:00.000Z,false,false,,3786,Kelly/Shorts Stadium,Central Michigan,Mid-American,38,7,17,7,7,0.9996297842854641,Albany,,21,0,7,7,7,0.000370215714535882
401112229,2019,1,regular,2019-08-30T01:00:00.000Z,false,false,,3953,TCF Bank Stadium,Minnesota,Big Ten,28,0,13,7,8,0.7079013302374422,South Dakota State,,21,0,7,14,0,0.2920986697625578
401117493,2019,1,regular,2019-08-30T02:00:00.000Z,false,false,,3935,Spartan Stadium,San José State,Mountain West,35,14,7,7,7,0.9989727349896149,Northern Colorado,,18,3,3,9,3,0.0010272650103850811
401114153,2019,1,regular,2019-08-30T02:00:00.000Z,false,false,,3947,Sun Devil Stadium,Arizona State,Pac-12,30,10,0,17,3,0.9986764468501403,Kent State,Mid-American,7,0,0,0,7,0.0013235531498596576
401114223,2019,1,regular,2019-08-30T02:15:00.000Z,false,false,,3801,LaVell Edwards Stadium,BYU,FBS Independents,12,0,6,0,6,0.004515069464778168,Utah,Pac-12,30,3,6,7,14,0.9954849305352218
401114238,2019,1,regular,2019-08-30T22:00:00.000Z,false,false,,3841,Blaik Field at Michie Stadium,Army,FBS Independents,14,0,7,0,7,0.9977163776799017,Rice,Conference USA,7,0,7,0,0,0.0022836223200982664
401112212,2019,1,regular,2019-08-30T23:00:00.000Z,false,false,,3936,Spartan Stadium,Michigan State,Big Ten,28,7,18,3,0,0.9838631812471603,Tulsa,American Athletic,7,0,7,0,0,0.016136818752839677
401112264,2019,1,regular,2019-08-30T23:15:00.000Z,false,false,,3754,High Point Solutions Stadium,Rutgers,Big Ten,48,7,31,3,7,0.9977830079662634,UMass,FBS Independents,21,21,0,0,0,0.002216992033736598
401117856,2019,1,regular,2019-08-30T23:55:00.000Z,false,false,,3886,Raymond James Stadium,South Florida,American Athletic,0,0,0,0,0,0.0034345805398384114,Wisconsin,Big Ten,49,7,21,14,7,0.9965654194601616
401112430,2019,1,regular,2019-08-31T00:00:00.000Z,false,false,,3630,BB&T Field,Wake Forest,ACC,38,10,7,14,7,0.8952229284457609,Utah State,Mountain West,35,7,14,7,7,0.1047770715542391
401112262,2019,1,regular,2019-08-31T01:30:00.000Z,false,false,,3816,Mackay Stadium,Nevada,Mountain West,34,0,7,10,17,0.8259196212435224,Purdue,Big Ten,31,10,14,7,0,0.17408037875647764
401114184,2019,1,regular,2019-08-31T02:00:00.000Z,true,false,,3937,Sports Authority Field at Mile High,Colorado,Pac-12,52,7,17,14,14,0.9984330562223831,Colorado State,Mountain West,31,7,14,3,7,0.0015669437776169026
401112122,2019,1,regular,2019-08-31T02:30:00.000Z,false,false,,3893,Reser Stadium,Oregon State,Pac-12,36,10,6,7,13,0.030836745674682583,Oklahoma State,Big 12,52,7,24,14,7,0.9691632543253175
401112251,2019,1,regular,2019-08-31T16:00:00.000Z,false,false,,3861,Ohio Stadium,Ohio State,Big Ten,45,28,0,7,10,0.9992489626414983,Florida Atlantic,Conference USA,21,0,3,3,15,0.0007510373585016827
401112201,2019,1,regular,2019-08-31T16:00:00.000Z,false,false,,3665,Maryland Stadium,Maryland,Big Ten,79,28,28,16,7,0.9999966893158879,Howard,,0,0,0,0,0,0.00000331068411207891
401110727,2019,1,regular,2019-08-31T16:00:00.000Z,true,false,,3493,Mercedes-Benz Superdome,Louisiana,Sun Belt,28,7,7,0,14,0.11387671428409141,Mississippi State,SEC,38,7,14,7,10,0.8861232857159086
401112085,2019,1,regular,2019-08-31T16:00:00.000Z,false,false,,3772,Jack Trice Stadium,Iowa State,Big 12,29,3,0,7,3,0.9864726192654548,Northern Iowa,,26,0,0,13,0,0.01352738073454518
401112238,2019,1,regular,2019-08-31T16:00:00.000Z,false,false,,3834,Memorial Stadium,Nebraska,Big Ten,35,7,7,14,7,0.9037885855802149,South Alabama,Sun Belt,21,7,0,14,0,0.09621141441978509
401112145,2019,1,regular,2019-08-31T16:00:00.000Z,false,false,,3832,Memorial Stadium,Illinois,Big Ten,42,14,14,14,0,0.999985624546836,Akron,Mid-American,3,3,0,0,0,0.000014375453163961716
401112157,2019,1,regular,2019-08-31T16:00:00.000Z,true,false,,3812,Lucas Oil Stadium,Ball State,Mid-American,24,3,7,7,7,0.052332403827212784,Indiana,Big Ten,34,10,6,7,11,0.9476675961727872
401112431,2019,1,regular,2019-08-31T16:00:00.000Z,false,false,,3697,Bobby Bowden Field at Doak Campbell Stadium,Florida State,ACC,31,21,10,0,0,0.6169692071984754,Boise State,Mountain West,36,6,13,7,10,0.38303079280152463
401112432,2019,1,regular,2019-08-31T16:00:00.000Z,false,false,,3670,Carter-Finley Stadium,NC State,ACC,34,7,10,7,10,0.9999604069681605,East Carolina,American Athletic,6,3,0,0,3,0.00003959303183953544
401112096,2019,1,regular,2019-08-31T16:00:00.000Z,false,false,,3833,Memorial Stadium,Kansas,Big 12,24,7,3,6,8,0.9960275082819783,Indiana State,,17,0,3,0,14,0.00397249171802172
401110724,2019,1,regular,2019-08-31T16:00:00.000Z,false,false,,3683,Commonwealth Stadium,Kentucky,SEC,38,0,14,10,14,0.9805204242555655,Toledo,Mid-American,24,7,7,3,7,0.019479575744434485
401110726,2019,1,regular,2019-08-31T16:00:00.000Z,false,false,,3805,Liberty Bowl Memorial Stadium,Memphis,American Athletic,15,7,6,0,2,0.9225375975622911,Ole Miss,SEC,10,0,0,3,7,0.07746240243770885
401119259,2019,1,regular,2019-08-31T18:00:00.000Z,false,false,,3876,Peden Stadium,Ohio,Mid-American,41,7,10,17,7,0.9966143403275215,Rhode Island,,20,0,6,7,7,0.0033856596724785026
401112143,2019,1,regular,2019-08-31T18:00:00.000Z,false,false,,3842,Mountaineer Field at Milan Puskar Stadium,West Virginia,Big 12,20,0,3,7,10,0.8127434292325724,James Madison,,13,7,0,3,3,0.18725657076742763
401114233,2019,1,regular,2019-08-31T19:00:00.000Z,false,false,,3765,Husky Stadium,Washington,Pac-12,47,21,7,14,5,0.9633836420170544,Eastern Washington,,14,0,7,0,7,0.0366163579829456
401117859,2019,1,regular,2019-08-31T19:00:00.000Z,false,false,,3806,Lincoln Financial Field,Temple,American Athletic,56,21,14,7,14,0.9999830913409441,Bucknell,,12,0,9,3,0,0.000016908659055903108
401117857,2019,1,regular,2019-08-31T19:30:00.000Z,false,false,,3852,Navy-Marine Corps Memorial Stadium,Navy,American Athletic,45,10,14,14,7,0.9999537706580122,Holy Cross,,7,0,7,0,0,0.00004622934198783568
401119256,2019,1,regular,2019-08-31T19:30:00.000Z,false,false,,3654,Brooks Stadium,Coastal Carolina,Sun Belt,23,10,3,0,10,0.11946296522368414,Eastern Michigan,Mid-American,30,0,7,16,7,0.8805370347763158
401110729,2019,1,regular,2019-08-31T19:30:00.000Z,true,false,,3628,Bank of America Stadium,North Carolina,ACC,24,3,3,3,15,0.9751738724975034,South Carolina,SEC,20,10,3,7,0,0.024826127502496576
401110730,2019,1,regular,2019-08-31T19:30:00.000Z,false,false,,3853,Neyland Stadium,Tennessee,SEC,30,14,3,3,10,0.2713042563438635,Georgia State,Sun Belt,38,7,7,7,17,0.7286957436561365
401112257,2019,1,regular,2019-08-31T19:30:00.000Z,false,false,,3632,Beaver Stadium,Penn State,Big Ten,79,20,24,14,21,0.9999634144875306,Idaho,,7,0,0,0,7,0.000036585512469433645
401117494,2019,1,regular,2019-08-31T19:30:00.000Z,false,false,,3713,Falcon Stadium,Air Force,Mountain West,48,7,28,13,0,0.9999713354400592,Colgate,,7,0,0,7,0,0.000028664559940771994
401121934,2019,1,regular,2019-08-31T19:30:00.000Z,false,false,,3792,Kidd Brewer Stadium,Appalachian State,Sun Belt,42,7,7,14,14,0.9999252284348996,East Tennessee State,,7,0,0,7,0,0.00007477156510038441
401110720,2019,1,regular,2019-08-31T19:30:00.000Z,true,false,,5348,Mercedes-Benz Stadium,Alabama,SEC,42,0,14,21,7,0.999990884676356,Duke,ACC,3,0,3,0,0,0.00000911532364400447
401112139,2019,1,regular,2019-08-31T20:00:00.000Z,false,false,,3784,Jones AT&T Stadium,Texas Tech,Big 12,45,14,14,3,14,0.9995738010168264,Montana State,,10,0,7,0,3,0.00042619898317364235
401110721,2019,1,regular,2019-08-31T20:00:00.000Z,false,false,,3887,Donald W. Reynolds Razorback Stadium Frank Broyles Field,Arkansas,SEC,20,10,0,7,3,0.9933435143434681,Portland State,,13,3,3,0,7,0.006656485656531874
401112435,2019,1,regular,2019-08-31T20:00:00.000Z,false,true,,3615,Alumni Stadium,Boston College,ACC,35,7,21,0,7,0.9939153058646774,Virginia Tech,ACC,28,7,7,7,7,0.006084694135322644
401112245,2019,1,regular,2019-08-31T20:00:00.000Z,false,false,,3940,Stanford Stadium,Stanford,Pac-12,17,0,10,0,7,0.8936946934265202,Northwestern,Big Ten,7,0,0,0,7,0.10630530657347981
401121935,2019,1,regular,2019-08-31T22:00:00.000Z,false,false,,3975,Veterans Memorial Stadium,Troy,Sun Belt,43,17,3,16,7,0.999524349110785,Campbell,,14,7,0,0,7,0.00047565088921497356
