,Name,FIPS,Owner
0,Autauga,01001,Troy
1,Baldwin,01003,South Alabama
2,Barbour,01005,Troy
3,Bibb,01007,Alabama
4,Blount,01009,UAB
5,Bullock,01011,Troy
6,Butler,01013,Troy
7,Calhoun,01015,UAB
8,Chambers,01017,Auburn
9,Cherokee,01019,Georgia Tech
10,Chilton,01021,UAB
11,Choctaw,01023,Southern Mississippi
12,Clarke,01025,South Alabama
13,Clay,01027,Auburn
14,Cleburne,01029,Georgia Tech
15,Coffee,01031,Troy
16,Colbert,01033,UAB
17,Conecuh,01035,Troy
18,Coosa,01037,Auburn
19,Covington,01039,Troy
20,Crenshaw,01041,Troy
21,Cullman,01043,UAB
22,Dale,01045,Troy
23,Dallas,01047,Alabama
24,DeKalb,01049,Georgia Tech
25,Elmore,01051,Auburn
26,Escambia,01053,South Alabama
27,Etowah,01055,UAB
28,Fayette,01057,Alabama
29,Franklin,01059,UAB
30,Geneva,01061,Troy
31,Greene,01063,Alabama
32,Hale,01065,Alabama
33,Henry,01067,Troy
34,Houston,01069,Troy
35,Jackson,01071,Middle Tennessee
36,Jefferson,01073,UAB
37,Lamar,01075,Mississippi State
38,Lauderdale,01077,Middle Tennessee
39,Lawrence,01079,UAB
40,Lee,01081,Auburn
41,Limestone,01083,Middle Tennessee
42,Lowndes,01085,Troy
43,Macon,01087,Auburn
44,Madison,01089,Middle Tennessee
45,Marengo,01091,Alabama
46,Marion,01093,Alabama
47,Marshall,01095,UAB
48,Mobile,01097,South Alabama
49,Monroe,01099,South Alabama
50,Montgomery,01101,Troy
51,Morgan,01103,UAB
52,Perry,01105,Alabama
53,Pickens,01107,Alabama
54,Pike,01109,Troy
55,Randolph,01111,Auburn
56,Russell,01113,Auburn
57,St. Clair,01115,UAB
58,Shelby,01117,UAB
59,Sumter,01119,Alabama
60,Talladega,01121,UAB
61,Tallapoosa,01123,Auburn
62,Tuscaloosa,01125,Alabama
63,Walker,01127,UAB
64,Washington,01129,South Alabama
65,Wilcox,01131,Alabama
66,Winston,01133,UAB
67,Aleutians East,02013,Washington
68,Aleutians West,02016,Hawai'i
69,Anchorage,02020,Washington
70,Bethel,02050,Washington
71,Bristol Bay,02060,Washington
72,Denali,02068,Washington
73,Dillingham,02070,Washington
74,Fairbanks North Star,02090,Washington
75,Haines,02100,Washington
76,Hoonah-Angoon,02105,Washington
77,Juneau,02110,Washington
78,Kenai Peninsula,02122,Washington
79,Ketchikan Gateway,02130,Washington
80,Kodiak Island,02150,Washington
81,Kusilvak,02158,Washington
82,Lake and Peninsula,02164,Washington
83,Matanuska-Susitna,02170,Washington
84,Nome,02180,Washington
85,North Slope,02185,Washington
86,Northwest Arctic,02188,Washington
87,Petersburg,02195,Washington
88,Prince of Wales-Hyder,02198,Washington
89,Sitka,02220,Washington
90,Skagway,02230,Washington
91,Southeast Fairbanks,02240,Washington
92,Valdez-Cordova,02261,Washington
93,Wrangell,02275,Washington
94,Yakutat,02282,Washington
95,Yukon-Koyukuk,02290,Washington
96,Apache,04001,New Mexico
97,Cochise,04003,Arizona
98,Coconino,04005,Arizona State
99,Gila,04007,Arizona State
100,Graham,04009,Arizona
101,Greenlee,04011,Arizona
102,La Paz,04012,Arizona State
103,Maricopa,04013,Arizona State
104,Mohave,04015,UNLV
105,Navajo,04017,Arizona State
106,Pima,04019,Arizona
107,Pinal,04021,Arizona State
108,Santa Cruz,04023,Arizona
109,Yavapai,04025,Arizona State
110,Yuma,04027,Arizona State
111,Arkansas,05001,Memphis
112,Ashley,05003,Louisiana Monroe
113,Baxter,05005,Arkansas State
114,Benton,05007,Arkansas
115,Boone,05009,Arkansas
116,Bradley,05011,Louisiana Monroe
117,Calhoun,05013,Louisiana Tech
118,Carroll,05015,Arkansas
119,Chicot,05017,Louisiana Monroe
120,Clark,05019,Louisiana Tech
121,Clay,05021,Arkansas State
122,Cleburne,05023,Arkansas State
123,Cleveland,05025,Louisiana Monroe
124,Columbia,05027,Louisiana Tech
125,Conway,05029,Arkansas
126,Craighead,05031,Arkansas State
127,Crawford,05033,Arkansas
128,Crittenden,05035,Memphis
129,Cross,05037,Arkansas State
130,Dallas,05039,Louisiana Tech
131,Desha,05041,Louisiana Monroe
132,Drew,05043,Louisiana Monroe
133,Faulkner,05045,Arkansas State
134,Franklin,05047,Arkansas
135,Fulton,05049,Arkansas State
136,Garland,05051,Arkansas
137,Grant,05053,Louisiana Tech
138,Greene,05055,Arkansas State
139,Hempstead,05057,Louisiana Tech
140,Hot Spring,05059,Louisiana Tech
141,Howard,05061,Louisiana Tech
142,Independence,05063,Arkansas State
143,Izard,05065,Arkansas State
144,Jackson,05067,Arkansas State
145,Jefferson,05069,Louisiana Monroe
146,Johnson,05071,Arkansas
147,Lafayette,05073,Louisiana Tech
148,Lawrence,05075,Arkansas State
149,Lee,05077,Memphis
150,Lincoln,05079,Louisiana Monroe
151,Little River,05081,Louisiana Tech
152,Logan,05083,Arkansas
153,Lonoke,05085,Arkansas State
154,Madison,05087,Arkansas
155,Marion,05089,Arkansas
156,Miller,05091,Louisiana Tech
157,Mississippi,05093,Arkansas State
158,Monroe,05095,Memphis
159,Montgomery,05097,Arkansas
160,Nevada,05099,Louisiana Tech
161,Newton,05101,Arkansas
162,Ouachita,05103,Louisiana Tech
163,Perry,05105,Arkansas
164,Phillips,05107,Memphis
165,Pike,05109,Louisiana Tech
166,Poinsett,05111,Arkansas State
167,Polk,05113,Arkansas
168,Pope,05115,Arkansas
169,Prairie,05117,Arkansas State
170,Pulaski,05119,Arkansas State
171,Randolph,05121,Arkansas State
172,St. Francis,05123,Memphis
173,Saline,05125,Arkansas
174,Scott,05127,Arkansas
175,Searcy,05129,Arkansas
176,Sebastian,05131,Arkansas
177,Sevier,05133,Louisiana Tech
178,Sharp,05135,Arkansas State
179,Stone,05137,Arkansas State
180,Union,05139,Louisiana Tech
181,Van Buren,05141,Arkansas
182,Washington,05143,Arkansas
183,White,05145,Arkansas State
184,Woodruff,05147,Arkansas State
185,Yell,05149,Arkansas
186,Alameda,06001,Stanford
187,Alpine,06003,Nevada
188,Amador,06005,Nevada
189,Butte,06007,Nevada
190,Calaveras,06009,San José State
191,Colusa,06011,California
192,Contra Costa,06013,California
193,Del Norte,06015,Oregon
194,El Dorado,06017,Nevada
195,Fresno,06019,Fresno State
196,Glenn,06021,California
197,Humboldt,06023,California
198,Imperial,06025,San Diego State
199,Inyo,06027,Fresno State
200,Kern,06029,UCLA
201,Kings,06031,Fresno State
202,Lake,06033,California
203,Lassen,06035,Nevada
204,Los Angeles,06037,UCLA
205,Madera,06039,Fresno State
206,Marin,06041,California
207,Mariposa,06043,Fresno State
208,Mendocino,06045,California
209,Merced,06047,Fresno State
210,Modoc,06049,Nevada
211,Mono,06051,Fresno State
212,Monterey,06053,San José State
213,Napa,06055,California
214,Nevada,06057,Nevada
215,Orange,06059,USC
216,Placer,06061,Nevada
217,Plumas,06063,Nevada
218,Riverside,06065,San Diego State
219,Sacramento,06067,California
220,San Benito,06069,San José State
221,San Bernardino,06071,UNLV
222,San Diego,06073,San Diego State
223,San Francisco,06075,California
224,San Joaquin,06077,San José State
225,San Luis Obispo,06079,Fresno State
226,San Mateo,06081,Stanford
227,Santa Barbara,06083,USC
228,Santa Clara,06085,San José State
229,Santa Cruz,06087,San José State
230,Shasta,06089,Nevada
231,Sierra,06091,Nevada
232,Siskiyou,06093,Oregon
233,Solano,06095,California
