,abbreviation,alt_color,alt_name1,alt_name2,alt_name3,color,conference,division,id,logos,mascot,school
0,ACU,#ebebeb,,ACU,Abil Christian,#4e2683,,,2000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2000.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2000.png']",Wildcats,Abilene Christian
1,ADST,,,ADST,Adams St,#000000,,,2001,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2001.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2001.png']",Grizzlies,Adams State
2,ADR,,,ADR,Adrian,#000000,,,2003,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2003.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2003.png']",Bulldogs,Adrian
3,AFA,#ffffff,,AFA,Air Force,#004a7b,Mountain West,Mountain,2005,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png']",Falcons,Air Force
4,AKR,#84754e,,AKR,Akron,#00285e,Mid-American,East,2006,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png']",Zips,Akron
5,ALA,#f1f2f3,,ALA,Alabama,#690014,SEC,West,333,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",Crimson Tide,Alabama
6,AAMU,#ffffff,,AAMU,Alabama A&M,#790000,,,2010,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2010.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2010.png']",Bulldogs,Alabama A&M
7,ALST,#0a0a0a,,ALST,Alabama State,#e9a900,,,2011,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2011.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2011.png']",Hornets,Alabama State
8,ALBY,#ffffff,,ALBY,Albany,#3D2777,,,399,"['http://a.espncdn.com/i/teamlogos/ncaa/500/399.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/399.png']",Great Danes,Albany
9,ALB,,,ALB,Albany St (GA),#000000,,,2013,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2013.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2013.png']",Golden Rams,Albany State (GA)
10,ALBI,,,ALBI,Albion,#000000,,,2790,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2790.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2790.png']",Britons,Albion
11,ALB,,,ALB,Albright,#000000,,,2015,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2015.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2015.png']",Lions,Albright
12,ALCN,#46166a,,ALCN,Alcorn State,#4b0058,,,2016,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2016.png']",Braves,Alcorn State
13,ABC,,,ABC,Ald.-Broaddus,,,,2017,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2017.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2017.png']",Battlers,Alderson-Broaddus
14,ALF,,,ALF,Alfred,#000000,,,365,"['http://a.espncdn.com/i/teamlogos/ncaa/500/365.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/365.png']",Saxons,Alfred
15,ASC,,,ASC,Alfred St ,#000000,,,3162,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3162.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3162.png']",Pioneers,Alfred State College
16,ALL,,,ALL,Allegheny,#000000,,,2018,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2018.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2018.png']",Golden Gators,Allegheny
17,ALM,,,ALM,Alma College,#000000,,,2800,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2800.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2800.png']",Scots,Alma College
18,AIC,,,AIC,American Intl.,#000000,,,2022,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2022.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2022.png']",Yellow Jackets,American International
19,AMH,,Amherst,AMH,Amherst ,#000000,,,7,"['http://a.espncdn.com/i/teamlogos/ncaa/500/7.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/7.png']",Mammoths,Amherst College
20,AND,,,AND,Anderson (IN),#000000,,,2023,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2023.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2023.png']",Ravens,Anderson (IN)
21,ANG,,,ANG,Angelo St,#000000,,,2025,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2025.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2025.png']",Rams,Angelo State
22,ANN,,,ANN,Anna Maria ,#000000,,,15,"['http://a.espncdn.com/i/teamlogos/ncaa/500/15.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/15.png']",Amcats,Anna Maria College
23,APP,#ffcd00,,APP,Appalachian St,#000000,Sun Belt,,2026,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2026.png']",Mountaineers,Appalachian State
24,APP,,,APP,Apprentice School,#000000,,,3111,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3111.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3111.png']",Builders,Apprentice School
25,ARIZ,#00205b,,ARIZ,Arizona,#002449,Pac-12,South,12,"['http://a.espncdn.com/i/teamlogos/ncaa/500/12.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/12.png']",Wildcats,Arizona
26,AZCR,,,AZCR,Arizona Christian,,,,108358,,Firestorm,Arizona Christian
27,ASU,#f1f2f3,,ASU,Arizona State,#942139,Pac-12,South,9,"['http://a.espncdn.com/i/teamlogos/ncaa/500/9.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png']",Sun Devils,Arizona State
28,ARK,#000000,,ARK,Arkansas,#9c1831,SEC,West,8,"['http://a.espncdn.com/i/teamlogos/ncaa/500/8.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png']",Razorbacks,Arkansas
29,ARK,,,ARK,AR-Monticello,#000000,,,2028,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2028.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2028.png']",Weevils,Arkansas-Monticello
30,UAPB,#eaaa00,,UAPB,AR-Pine Bluff,#e0aa0f,,,2029,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2029.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2029.png']",Golden Lions,Arkansas-Pine Bluff
31,ARST,#000000,,ARST,Arkansas State,#e81018,Sun Belt,,2032,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2032.png']",Red Wolves,Arkansas State
32,ARK,,,ARK,Arkansas Tech,#000000,,,2033,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2033.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2033.png']",Wonder Boys,Arkansas Tech
33,ARMY,#231f20,,ARMY,Army,#ce9c00,FBS Independents,,349,"['http://a.espncdn.com/i/teamlogos/ncaa/500/349.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/349.png']",Black Knights,Army
34,ASH,,,ASH,Ashland,#000000,,,308,"['http://a.espncdn.com/i/teamlogos/ncaa/500/308.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/308.png']",Eagles,Ashland
35,ASP,,,ASP,Assumption,#000000,,,2038,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2038.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2038.png']",Greyhounds,Assumption
36,AUB,#f1f2f3,,AUB,Auburn,#03244d,SEC,West,2,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2.png']",Tigers,Auburn
37,AUG,,,AUG,Augsburg,#000000,,,124,"['http://a.espncdn.com/i/teamlogos/ncaa/500/124.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/124.png']",Auggies,Augsburg
38,AUG,,,AUG,Augustana (IL),#000000,,,2042,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2042.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2042.png']",Vikings,Augustana (IL)
39,AUG,,,AUG,Augustana (SD),#000000,,,2043,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2043.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2043.png']",Vikings,Augustana (SD)
40,AUR,,,AUR,Aurora,#000000,,,2044,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2044.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2044.png']",Spartans,Aurora
41,AUS,,,AUS,Austin College,#000000,,,2045,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2045.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2045.png']",Kangaroos,Austin College
42,PEAY,,,PEAY,Austin Peay,#8e0b0b,,,2046,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2046.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2046.png']",Governors,Austin Peay
