,abbreviation,alt_color,alt_name1,alt_name2,alt_name3,color,conference,division,id,logos,mascot,school
0,AFA,#ffffff,,AFA,Air Force,#004a7b,Mountain West,Mountain,2005,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png']",Falcons,Air Force
1,AKR,#84754e,,AKR,Akron,#00285e,Mid-American,East,2006,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png']",Zips,Akron
2,ALA,#f1f2f3,,ALA,Alabama,#690014,SEC,West,333,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",Crimson Tide,Alabama
3,APP,#ffcd00,,APP,Appalachian St,#000000,Sun Belt,,2026,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2026.png']",Mountaineers,Appalachian State
4,ARIZ,#00205b,,ARIZ,Arizona,#002449,Pac-12,South,12,"['http://a.espncdn.com/i/teamlogos/ncaa/500/12.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/12.png']",Wildcats,Arizona
5,ASU,#f1f2f3,,ASU,Arizona State,#942139,Pac-12,South,9,"['http://a.espncdn.com/i/teamlogos/ncaa/500/9.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png']",Sun Devils,Arizona State
6,ARK,#000000,,ARK,Arkansas,#9c1831,SEC,West,8,"['http://a.espncdn.com/i/teamlogos/ncaa/500/8.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png']",Razorbacks,Arkansas
7,ARST,#000000,,ARST,Arkansas State,#e81018,Sun Belt,,2032,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2032.png']",Red Wolves,Arkansas State
8,ARMY,#231f20,,ARMY,Army,#ce9c00,FBS Independents,,349,"['http://a.espncdn.com/i/teamlogos/ncaa/500/349.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/349.png']",Black Knights,Army
9,AUB,#f1f2f3,,AUB,Auburn,#03244d,SEC,West,2,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2.png']",Tigers,Auburn
10,BALL,#ffffff,,BALL,Ball State,#DA0000,Mid-American,West,2050,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2050.png']",Cardinals,Ball State
11,BAY,#ffb81c,,BAY,Baylor,#004834,Big 12,,239,"['http://a.espncdn.com/i/teamlogos/ncaa/500/239.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png']",Bears,Baylor
12,BSU,#d8d9da,,BSU,Boise State,#09347A,Mountain West,Mountain,68,"['http://a.espncdn.com/i/teamlogos/ncaa/500/68.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/68.png']",Broncos,Boise State
13,BC,#a39161,,BC,Boston College,#88001a,ACC,Atlantic,103,"['http://a.espncdn.com/i/teamlogos/ncaa/500/103.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/103.png']",Eagles,Boston College
14,BGSU,#492000,Bowling Green State,BGSU,Bowling Green,#2b1000,Mid-American,East,189,"['http://a.espncdn.com/i/teamlogos/ncaa/500/189.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/189.png']",Falcons,Bowling Green
15,BUFF,#ebebeb,,BUFF,Buffalo,#041A9B,Mid-American,East,2084,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2084.png']",Bulls,Buffalo
16,BYU,#ffffff,Brigham Young,BYU,BYU,#001E4C,FBS Independents,,252,"['http://a.espncdn.com/i/teamlogos/ncaa/500/252.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/252.png']",Cougars,BYU
17,CAL,#ffc423,,CAL,Cal,#031522,Pac-12,North,25,"['http://a.espncdn.com/i/teamlogos/ncaa/500/25.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/25.png']",Golden Bears,California
18,CMU,#ffffff,,CMU,Cent Michigan,#6a0032,Mid-American,West,2117,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2117.png']",Chippewas,Central Michigan
19,CHAR,#cfab7a,,CHAR,Charlotte,#0C562D,Conference USA,East,2429,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2429.png']",49ers,Charlotte
20,CIN,#717073,,CIN,Cincinnati,#000000,American Athletic,East,2132,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2132.png']",Bearcats,Cincinnati
21,CLEM,#522d80,,CLEM,Clemson,#F66733,ACC,Atlantic,228,"['http://a.espncdn.com/i/teamlogos/ncaa/500/228.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png']",Tigers,Clemson
22,CCU,#876447,,CCU,C. Carolina,#007073,Sun Belt,,324,"['http://a.espncdn.com/i/teamlogos/ncaa/500/324.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/324.png']",Chanticleers,Coastal Carolina
23,COLO,#ffd200,,COLO,Colorado,#d1c57e,Pac-12,South,38,"['http://a.espncdn.com/i/teamlogos/ncaa/500/38.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png']",Buffaloes,Colorado
24,CSU,#ffc425,,CSU,Colorado State,#004537,Mountain West,Mountain,36,"['http://a.espncdn.com/i/teamlogos/ncaa/500/36.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/36.png']",Rams,Colorado State
25,CONN,#f1f2f3,,CONN,UConn,#001d40,American Athletic,East,41,"['http://a.espncdn.com/i/teamlogos/ncaa/500/41.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/41.png']",Huskies,Connecticut
26,DUKE,#f1f2f3,,DUKE,Duke,#001A57,ACC,Coastal,150,"['http://a.espncdn.com/i/teamlogos/ncaa/500/150.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/150.png']",Blue Devils,Duke
27,ECU,#f0907b,,ECU,ECU,#4b1869,American Athletic,East,151,"['http://a.espncdn.com/i/teamlogos/ncaa/500/151.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/151.png']",Pirates,East Carolina
28,EMU,#f0f0f0,,EMU,E Michigan,#00331b,Mid-American,West,2199,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2199.png']",Eagles,Eastern Michigan
29,FLA,#0021a5,,FLA,Florida,#0021A5,SEC,East,57,"['http://a.espncdn.com/i/teamlogos/ncaa/500/57.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/57.png']",Gators,Florida
30,FAU,#bb2f4c,,FAU,FAU,#004B85,Conference USA,East,2226,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2226.png']",Owls,Florida Atlantic
31,FIU,#c5960c,,FIU,FIU,#001538,Conference USA,East,2229,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2229.png']",Golden Panthers,Florida International
32,FSU,#ceb888,,FSU,FSU,#782F40,ACC,Atlantic,52,"['http://a.espncdn.com/i/teamlogos/ncaa/500/52.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/52.png']",Seminoles,Florida State
33,FRES,#231f20,,FRES,Fresno State,#c41230,Mountain West,West,278,"['http://a.espncdn.com/i/teamlogos/ncaa/500/278.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/278.png']",Bulldogs,Fresno State
34,UGA,#000000,,UGA,Georgia,#CC0000,SEC,East,61,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']",Bulldogs,Georgia
35,GASO,#f0f0f0,,GASO,Ga Southern,#003775,Sun Belt,,290,"['http://a.espncdn.com/i/teamlogos/ncaa/500/290.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/290.png']",Eagles,Georgia Southern
36,GAST,#ebebeb,,GAST,Georgia State,#1e539a,Sun Belt,,2247,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2247.png']",Panthers,Georgia State
37,GT,#002c56,,GT,Georgia Tech,#00223e,ACC,Coastal,59,"['http://a.espncdn.com/i/teamlogos/ncaa/500/59.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/59.png']",Yellow Jackets,Georgia Tech
38,HAW,#ffffff,,HAW,Hawai'i,#003420,Mountain West,West,62,"['http://a.espncdn.com/i/teamlogos/ncaa/500/62.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/62.png']",Rainbow Warriors,Hawai'i
39,HOU,#231f20,,HOU,Houston,#C90822,American Athletic,West,248,"['http://a.espncdn.com/i/teamlogos/ncaa/500/248.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/248.png']",Cougars,Houston
40,ILL,#fa6300,,ILL,Illinois,#f77329,Big Ten,West,356,"['http://a.espncdn.com/i/teamlogos/ncaa/500/356.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/356.png']",Fighting Illini,Illinois
41,IND,#eeedeb,,IND,Indiana,#7D110C,Big Ten,East,84,"['http://a.espncdn.com/i/teamlogos/ncaa/500/84.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/84.png']",Hoosiers,Indiana
42,IOWA,#ffe100,,IOWA,Iowa,#000000,Big Ten,West,2294,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2294.png']",Hawkeyes,Iowa
43,ISU,#830b2c,,ISU,Iowa State,#660015,Big 12,,66,"['http://a.espncdn.com/i/teamlogos/ncaa/500/66.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/66.png']",Cyclones,Iowa State
44,KU,#e8000d,,KU,Kansas,#0022B4,Big 12,,2305,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2305.png']",Jayhawks,Kansas
45,KSU,#e7d2ad,,KSU,Kansas State,#633194,Big 12,,2306,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2306.png']",Wildcats,Kansas State
46,KENT,#f0b510,,KENT,Kent State,#002445,Mid-American,East,2309,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2309.png']",Golden Flashes,Kent State
47,UK,#ffffff,,UK,Kentucky,#005DAA,SEC,East,96,"['http://a.espncdn.com/i/teamlogos/ncaa/500/96.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/96.png']",Wildcats,Kentucky
48,LIB,#a61f21,,LIB,Liberty,#071740,FBS Independents,,2335,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2335.png']",Flames,Liberty
49,ULL,,UL Lafayette,ULL,Louisiana,#ce2842,Sun Belt,,309,"['http://a.espncdn.com/i/teamlogos/ncaa/500/309.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/309.png']",Ragin' Cajuns,Louisiana
50,ULM,#b18445,La.-Monroe,ULM,UL Monroe,#231F20,Sun Belt,,2433,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2433.png']",Warhawks,Louisiana Monroe
51,LT,#d3313a,,LT,LA Tech,#002d65,Conference USA,West,2348,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2348.png']",Bulldogs,Louisiana Tech
52,LOU,#cccccc,,LOU,Louisville,#ad000a,ACC,Atlantic,97,"['http://a.espncdn.com/i/teamlogos/ncaa/500/97.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/97.png']",Cardinals,Louisville
53,LSU,#fdd023,Louisiana State,LSU,LSU,#22005c,SEC,West,99,"['http://a.espncdn.com/i/teamlogos/ncaa/500/99.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/99.png']",Tigers,LSU
