,capacity,city,country_code,dome,elevation,grass,id,location,name,state,year_constructed,zip
0,10000,Tuskegee,US,False,122.8,,4747,,Abbott Memorial Alumni Stadium,AL,1925.0,
1,28500,Baton Rouge,US,False,20.24213219,,3599,"{'x': 30.5221461, 'y': -91.1896087}",Ace W. Mumford Stadium,LA,1928.0,
2,30343,Las Cruces,US,False,1208.201294,False,3601,"{'x': 32.2796202, 'y': -106.7411148}",Aggie Memorial Stadium,NM,1978.0,88003
3,21500,Greensboro,US,False,235.1224518,,3603,"{'x': 36.0814337, 'y': -79.7700391}",Aggie Stadium,NC,1981.0,
4,10849,Davis,US,False,11.3825922,,3602,"{'x': 38.5365266, 'y': -121.7627936}",Aggie Stadium,CA,2007.0,
5,65000,San Antonio,US,False,201.5526886,False,3604,"{'x': 29.4169834, 'y': -98.4788143}",Alamodome,TX,1993.0,78299
6,36387,Boise,US,False,823.2221069,False,3653,"{'x': 43.6028839, 'y': -116.1958882}",Albertsons Stadium,ID,1970.0,83725
7,12283,Grand Forks,US,False,255.2472076,False,3605,"{'x': 47.910622, 'y': -97.090996}",Alerus Center,ND,2001.0,
8,11075,San Luis Obispo,US,False,84.6832428,,1027,"{'x': 35.2984123, 'y': -120.6650005}",Alex G. Spanos Stadium,CA,2006.0,
9,10000,Orono,US,False,35.4817543,False,3607,"{'x': 44.905128, 'y': -68.6724718}",Alfond Stadium,ME,1998.0,04469
10,8000,Rolla,US,False,336.1,,3609,,Allgood-Bailey Stadium,MO,1967.0,
11,45500,Sydney,AU,False,42.8,True,5363,,Allianz Stadium,NSW,1988.0,
12,50000,Honolulu,US,False,10.26500511,False,3610,"{'x': 21.3728014, 'y': -157.9299645}",Aloha Stadium,HI,1975.0,96818
13,10000,Lexington,US,False,294.958252,,3597,"{'x': 37.788983, 'y': -79.43505}",Alumni Memorial Field,VA,1962.0,
14,7000,Dover,US,False,10.95275307,,3613,"{'x': 39.189375, 'y': -75.5433185}",Alumni Stadium,DE,1980.0,
15,44500,Chestnut Hill,US,False,39.82634354,False,3615,"{'x': 42.335104, 'y': -71.1664413}",Alumni Stadium,MA,1957.0,02467
16,45000,Fort Worth,US,False,185.4387054,False,3616,"{'x': 32.7096604, 'y': -97.3680835}",Amon G. Carter Stadium,TX,1929.0,76129
17,10221,Hamilton,US,False,337.1443787,,3617,"{'x': 42.8168991, 'y': -75.5452721}",Andy Kerr Stadium,NY,1966.0,
18,83500,Sydney,AU,False,9.444999695,True,5221,"{'x': -33.846991, 'y': 151.063435}",ANZ Stadium,,1999.0,
19,30850,Denton,US,False,198.6871948,False,3825,"{'x': 33.203899, 'y': -97.159245}",Apogee Stadium,TX,2011.0,76210
20,56029,Tucson,US,False,742.1530151,False,3619,"{'x': 32.2288054, 'y': -110.9488677}",Arizona Stadium,AZ,1928.0,85721
21,17000,Hampton,US,False,2.574624538,,3620,"{'x': 37.0200894, 'y': -76.3331555}",Armstrong Stadium,VA,1928.0,
22,76416,Kansas City,US,False,256.798584,True,3622,"{'x': 39.048889, 'y': -94.483889}",Arrowhead Stadium,MO,1972.0,
23,2200,Pittsburgh,US,False,269.4302979,,3623,"{'x': 40.4355808, 'y': -79.9900263}",Arthur J. Rooney Athletic Field,PA,1993.0,
24,3500,New Britain,US,False,41.29866409,,3624,"{'x': 41.6950591, 'y': -72.7616197}",Arute Field,CT,1969.0,
25,100000,Arlington,US,False,172.5047302,False,3687,"{'x': 32.747778, 'y': -97.092778}",AT&T Stadium,TX,2009.0,
26,54000,Eugene,US,False,127.4198303,False,3626,"{'x': 44.0582712, 'y': -123.0684883}",Autzen Stadium,OR,1967.0,97401
27,51700,Dublin,IE,False,2.264276505,True,3504,"{'x': 53.33523, 'y': -6.228447}",Aviva Stadium,,2010.0,
28,6500,Clinton,US,False,194.1601868,,3627,"{'x': 34.46158, 'y': -81.861368}",Bailey Memorial Stadium,SC,2002.0,
29,75412,Charlotte,US,False,220.8777466,True,3628,"{'x': 35.225833, 'y': -80.852778}",Bank of America Stadium,NC,1996.0,28202
30,5000,Buies Creek,US,False,56.51401138,,3629,"{'x': 35.4047689, 'y': -78.7424842}",Barker-Lane Stadium,NC,2008.0,
31,31500,Winston-Salem,US,False,283.548584,False,3630,"{'x': 36.1305507, 'y': -80.2545851}",BB&T Field,NC,1968.0,27105
32,22039,Houston,US,False,13.68128395,,3631,"{'x': 29.7521988, 'y': -95.3524146}",BBVA Compass Stadium,TX,2012.0,
33,106572,University Park,US,False,354.1551514,False,3632,"{'x': 40.8121958, 'y': -77.8561023}",Beaver Stadium,PA,1960.0,16802
35,30000,New Orleans,US,False,0.0000000000000000000000000000000000000118,False,4729,"{'x': 29.944616, 'y': -90.116692}",Benson Field at Yulman Stadium,LA,2014.0,
36,50000,Manhattan,US,False,328.0574646,False,3636,"{'x': 39.2020096, 'y': -96.5938395}",Bill Snyder Family Football Stadium,KS,1968.0,66502
37,15000,Prairie View,US,False,78.4,,3639,,Blackshear Stadium,TX,2016.0,
38,38000,West Point,US,False,99.21277618,False,3841,"{'x': 41.3874924, 'y': -73.9640891}",Blaik Field at Michie Stadium,NY,1924.0,10996
39,79560,Tallahassee,US,False,19.55942535,False,3697,"{'x': 30.4381692, 'y': -84.3044032}",Bobby Bowden Field at Doak Campbell Stadium,FL,1950.0,32306
40,55000,Atlanta,US,False,279.300415,False,721,"{'x': 33.7724449, 'y': -84.3928054}",Bobby Dodd Stadium at Historic Grant Field,GA,1913.0,30332
41,19000,Bozeman,US,False,1507.508667,,3643,"{'x': 45.659048, 'y': -111.049547}",Bobcat Stadium,MT,1973.0,
42,8500,Albany,US,False,64.42764282,,4419,"{'x': 42.6808062, 'y': -73.8272841}",Bob Ford Field,NY,2013.0,
43,60218,Stillwater,US,False,276.4808655,False,3646,"{'x': 36.125673, 'y': -97.066513}",Boone Pickens Stadium,OK,1919.0,74078
44,14000,Huntsville,US,False,127.6225204,,3647,"{'x': 30.713926, 'y': -95.5419802}",Bowers Stadium,TX,1986.0,
45,17000,Winston-Salem,US,False,242.5,,3649,,Bowman Gray Stadium,NC,1937.0,
46,25500,Tallahassee,US,False,31.18483925,,3650,"{'x': 30.4261632, 'y': -84.2923095}",Bragg Memorial Stadium,FL,1957.0,
47,14215,Florence,US,False,172.3,,4133,,Braly Municipal Stadium,AL,1949.0,
48,24878,Harrisonburg,US,False,399.303009,,3651,"{'x': 38.4352919, 'y': -78.8729349}",Bridgeforth Stadium,VA,1975.0,
49,23595,DeKalb,US,False,267.4530029,False,3764,"{'x': 41.9339586, 'y': -88.7778357}",Brigham Field at Huskie Stadium,IL,1965.0,60115
51,162000,Briston,US,False,456.8201294,True,4617,"{'x': 36.516, 'y': -82.257}",Bristol Motor Speedway,TN,1961.0,
